IOAxCONF_Key,InstanceID,DateTimeStamp,Respondent,CaregiverID,StudyPhase,SessionType,SessionCount,Merge_TotalSessionTrials,ConfConfederateInteraction,IOAConfederateInteraction
57,0jiez2d4jx,2024-08-06 14:55:58-04:00,3_IOAxCONF,Case3,0_BL,1_SC,1,26,0,0
118,1dd4utxqq0,2024-08-14 09:15:50-04:00,3_IOAxCONF,Case3,3_T3,0_AC,4,1,0,0
120,1fv3xh81bn,2024-08-14 09:17:05-04:00,3_IOAxCONF,Case3,3_T3,0_AC,4,3,0,0
22,1lv6uae4sw,2024-08-06 13:00:31-04:00,3_IOAxCONF,Case2,0_BL,0_AC,1,4,0,0
130,1ruj52dgun,2024-08-14 09:57:47-04:00,3_IOAxCONF,Case2,5_RTB,0_AC,5,1,0,0
104,20biysgoz7,2024-08-19 11:02:31-04:00,3_IOAxCONF,Case1,5_RTB,0_AC,7,1,0,0
51,2ahwij0p7v,2024-08-06 14:45:11-04:00,3_IOAxCONF,Case3,0_BL,1_SC,1,21,0,0
95,2qwvmm07ui,2024-08-08 10:36:47-04:00,3_IOAxCONF,Case1,2_T2,1_SC,3,22,0,1
77,2xq3906fvt,2024-08-08 10:10:45-04:00,3_IOAxCONF,Case1,2_T2,1_SC,3,4,0,0
48,305smus3na,2024-08-06 14:41:21-04:00,3_IOAxCONF,Case3,0_BL,1_SC,1,18,0,0
123,33u71gj78q,2024-08-13 09:03:54-04:00,3_IOAxCONF,Case3,2_T2,1_SC,3,6,0,0
7,3bjywc7ujz,2024-08-06 12:25:17-04:00,3_IOAxCONF,Case2,0_BL,1_SC,1,6,0,0
52,3he8tyx9gc,2024-08-06 14:46:18-04:00,3_IOAxCONF,Case3,0_BL,1_SC,1,22,0,0
128,4p52jdcygg,2024-08-14 09:48:49-04:00,3_IOAxCONF,Case2,5_RTB,1_SC,5,4,0,0
60,4wfnryqwqr,2024-08-06 10:16:49-04:00,3_IOAxCONF,Case1,0_BL,1_SC,1,1,0,1
4,5323y3y8fp,2024-08-06 12:20:36-04:00,3_IOAxCONF,Case2,0_BL,1_SC,1,3,0,0
14,59z28789f8,2024-08-06 12:42:01-04:00,3_IOAxCONF,Case2,0_BL,0_AC,1,2,1,0
100,5af6ra23cu,2024-08-08 10:43:38-04:00,3_IOAxCONF,Case1,2_T2,1_SC,3,27,0,0
81,63c7z22k5i,2024-08-08 10:15:45-04:00,3_IOAxCONF,Case1,2_T2,1_SC,3,8,0,0
91,6ucigy2n12,2024-08-08 10:28:23-04:00,3_IOAxCONF,Case1,2_T2,1_SC,3,18,0,0
112,73v7awwxz6,2024-08-14 09:05:59-04:00,3_IOAxCONF,Case3,3_T3,1_SC,4,6,0,0
61,76b6silt5i,2024-08-06 10:18:11-04:00,3_IOAxCONF,Case1,0_BL,1_SC,1,2,0,0
82,77scmgllqe,2024-08-08 10:16:57-04:00,3_IOAxCONF,Case1,2_T2,1_SC,3,9,0,0
117,7anv3ijurn,2024-08-14 09:10:44-04:00,3_IOAxCONF,Case3,3_T3,1_SC,4,12,0,0
25,7o69hq0dlj,2024-08-06 14:15:16-04:00,3_IOAxCONF,Case3,0_BL,1_SC,1,2,1,0
65,7o936qd290,2024-08-06 10:25:16-04:00,3_IOAxCONF,Case1,0_BL,1_SC,1,6,0,0
119,84c2e101cp,2024-08-14 09:16:28-04:00,3_IOAxCONF,Case3,3_T3,0_AC,4,2,0,0
2,8c3dazi3qu,2024-08-06 12:16:47-04:00,3_IOAxCONF,Case2,0_BL,1_SC,1,1,0,1
105,8ie3mrou4h,2024-08-19 11:03:13-04:00,3_IOAxCONF,Case1,5_RTB,0_AC,7,2,1,0
55,9b4dhcqlci,2024-08-06 14:53:27-04:00,3_IOAxCONF,Case3,0_BL,1_SC,1,24,0,0
90,9jzbe1om92,2024-08-08 10:27:09-04:00,3_IOAxCONF,Case1,2_T2,1_SC,3,17,1,0
139,9u24ug994x,2024-08-07 09:56:24-04:00,3_IOAxCONF,Case3,1_T1,1_SC,2,17,0,0
74,9vaxpkqdjo,2024-08-08 10:07:20-04:00,3_IOAxCONF,Case1,2_T2,1_SC,3,1,0,0
13,a4knedjuvn,2024-08-06 12:34:59-04:00,3_IOAxCONF,Case2,0_BL,1_SC,1,12,0,0
125,assm964nzn,2024-08-13 09:12:32-04:00,3_IOAxCONF,Case3,2_T2,0_AC,3,2,0,0
38,ay9xpkvfkq,2024-08-06 14:27:32-04:00,3_IOAxCONF,Case3,0_BL,1_SC,1,12,0,0
122,b6s7qzxy89,2024-08-13 09:02:21-04:00,3_IOAxCONF,Case3,2_T2,1_SC,3,4,0,0
129,bk9wgqr4ul,2024-08-14 09:51:40-04:00,3_IOAxCONF,Case2,5_RTB,1_SC,5,7,0,0
3,bzpgcj844i,2024-08-06 12:18:58-04:00,3_IOAxCONF,Case2,0_BL,1_SC,1,2,1,1
94,c9o0v9ykd7,2024-08-08 10:36:02-04:00,3_IOAxCONF,Case1,2_T2,1_SC,3,21,0,0
28,ceio20vzn7,2024-08-06 14:18:58-04:00,3_IOAxCONF,Case3,0_BL,1_SC,1,5,0,0
39,dhz81nhvnu,2024-08-06 14:28:58-04:00,3_IOAxCONF,Case3,0_BL,1_SC,1,13,1,1
87,dnokw51592,2024-08-08 10:23:27-04:00,3_IOAxCONF,Case1,2_T2,1_SC,3,14,0,0
138,e9jw781c6q,2024-08-07 09:52:50-04:00,3_IOAxCONF,Case3,1_T1,1_SC,2,14,0,0
127,ea26882t36,2024-08-14 09:46:20-04:00,3_IOAxCONF,Case2,5_RTB,1_SC,5,1,1,0
114,esxf9xbcco,2024-08-14 09:08:28-04:00,3_IOAxCONF,Case3,3_T3,1_SC,4,9,0,0
106,ezencmrird,2024-08-19 11:04:11-04:00,3_IOAxCONF,Case1,5_RTB,0_AC,7,3,0,0
66,f61mf134s8,2024-08-06 10:35:59-04:00,3_IOAxCONF,Case1,0_BL,0_AC,1,2,0,0
63,fezz3o4qcl,2024-08-06 10:21:08-04:00,3_IOAxCONF,Case1,0_BL,1_SC,1,4,1,0
126,fos43axt8r,2024-08-13 09:13:44-04:00,3_IOAxCONF,Case3,2_T2,0_AC,3,3,1,0
140,g1p4exdh69,2024-08-07 10:00:33-04:00,3_IOAxCONF,Case3,1_T1,1_SC,2,20,1,0
116,g3ustmig5t,2024-08-14 09:10:03-04:00,3_IOAxCONF,Case3,3_T3,1_SC,4,11,0,0
89,gcxlocm6jn,2024-08-08 10:25:56-04:00,3_IOAxCONF,Case1,2_T2,1_SC,3,16,1,0
72,grpy4vkmdw,2024-08-06 10:48:31-04:00,3_IOAxCONF,Case1,0_BL,1_SC,1,12,1,0
19,h1jnbdx1lz,2024-08-06 12:52:49-04:00,3_IOAxCONF,Case2,0_BL,0_AC,1,3,0,0
101,hj5bssexha,2024-08-08 10:44:27-04:00,3_IOAxCONF,Case1,2_T2,1_SC,3,28,0,0
97,iahde57cm8,2024-08-08 10:38:53-04:00,3_IOAxCONF,Case1,2_T2,1_SC,3,24,0,0
58,irjdgx069j,2024-08-06 14:58:13-04:00,3_IOAxCONF,Case3,0_BL,0_AC,1,4,0,0
23,j8lu5vx9rx,2024-08-06 14:09:05-04:00,3_IOAxCONF,Case3,0_BL,0_AC,1,1,1,0
12,jauk391j4r,2024-08-06 12:33:30-04:00,3_IOAxCONF,Case2,0_BL,1_SC,1,11,0,0
93,jc1k7c9yem,2024-08-08 10:35:01-04:00,3_IOAxCONF,Case1,2_T2,1_SC,3,20,1,0
96,jjm57uwqzt,2024-08-08 10:37:54-04:00,3_IOAxCONF,Case1,2_T2,1_SC,3,23,0,0
15,jqtcx1bw9u,2024-08-06 12:44:35-04:00,3_IOAxCONF,Case2,0_BL,1_SC,1,13,0,0
113,jve0bc8gh8,2024-08-14 09:07:47-04:00,3_IOAxCONF,Case3,3_T3,1_SC,4,8,0,0
109,k0ay8aucra,2024-08-14 09:02:59-04:00,3_IOAxCONF,Case3,3_T3,1_SC,4,3,0,0
75,k7g0uooap7,2024-08-08 10:08:21-04:00,3_IOAxCONF,Case1,2_T2,1_SC,3,2,0,0
34,k81nionvca,2024-08-06 14:22:38-04:00,3_IOAxCONF,Case3,0_BL,1_SC,1,8,1,1
144,kv07tghq0x,2024-08-16 09:18:00-04:00,3_IOAxCONF,Case4,5_RTB,0_AC,2,3,0,0
88,l4bnh1calr,2024-08-08 10:25:04-04:00,3_IOAxCONF,Case1,2_T2,1_SC,3,15,1,0
124,l78puidwmz,2024-08-13 09:11:38-04:00,3_IOAxCONF,Case3,2_T2,0_AC,3,1,0,0
86,l9qcvrx9ff,2024-08-08 10:21:57-04:00,3_IOAxCONF,Case1,2_T2,1_SC,3,13,0,0
26,lgau2v904v,2024-08-06 14:16:28-04:00,3_IOAxCONF,Case3,0_BL,1_SC,1,3,0,0
141,lihoshct35,2024-08-07 10:04:05-04:00,3_IOAxCONF,Case3,1_T1,1_SC,2,23,0,0
111,m2oc7z1zit,2024-08-14 09:04:59-04:00,3_IOAxCONF,Case3,3_T3,1_SC,4,5,0,0
121,mftqsa41sf,2024-08-13 08:59:41-04:00,3_IOAxCONF,Case3,2_T2,1_SC,3,1,1,0
133,mpi2rm6b1i,2024-08-16 10:00:45-04:00,3_IOAxCONF,Case1,5_RTB,1_SC,6,7,0,0
80,mwwt50zvma,2024-08-08 10:14:44-04:00,3_IOAxCONF,Case1,2_T2,1_SC,3,7,0,0
9,n6ug7xzlvn,2024-08-06 12:28:26-04:00,3_IOAxCONF,Case2,0_BL,1_SC,1,8,0,0
71,ney3hgrhzn,2024-08-06 10:46:34-04:00,3_IOAxCONF,Case1,0_BL,1_SC,1,11,0,0
92,nneqyyrric,2024-08-08 10:34:09-04:00,3_IOAxCONF,Case1,2_T2,1_SC,3,19,1,1
68,nufa2j4q87,2024-08-06 10:41:41-04:00,3_IOAxCONF,Case1,0_BL,1_SC,1,8,0,0
29,nuojvsrak4,2024-08-06 14:20:16-04:00,3_IOAxCONF,Case3,0_BL,1_SC,1,6,0,0
42,nyhoddoted,2024-08-06 14:32:31-04:00,3_IOAxCONF,Case3,0_BL,1_SC,1,16,0,0
103,o1n9nyvq1v,2024-08-08 10:46:30-04:00,3_IOAxCONF,Case1,2_T2,1_SC,3,30,0,0
76,o2wdtm4y2g,2024-08-08 10:09:34-04:00,3_IOAxCONF,Case1,2_T2,1_SC,3,3,0,0
84,omyuc8kvj5,2024-08-08 10:19:06-04:00,3_IOAxCONF,Case1,2_T2,1_SC,3,11,0,0
17,ox85op7a90,2024-08-06 12:47:31-04:00,3_IOAxCONF,Case2,0_BL,1_SC,1,15,0,0
1,p3h2noxcwo,2024-08-06 12:10:55-04:00,3_IOAxCONF,Case2,0_BL,0_AC,1,1,1,0
11,pzsi25ii78,2024-08-06 12:31:29-04:00,3_IOAxCONF,Case2,0_BL,1_SC,1,10,1,1
43,qr4b9h5rfk,2024-08-06 14:36:59-04:00,3_IOAxCONF,Case3,0_BL,0_AC,1,2,0,0
110,r8ruyihge5,2024-08-14 09:03:42-04:00,3_IOAxCONF,Case3,3_T3,1_SC,4,4,0,0
108,rixk768iqu,2024-08-14 09:01:54-04:00,3_IOAxCONF,Case3,3_T3,1_SC,4,2,0,0
50,rpef5nl8ky,2024-08-06 14:44:00-04:00,3_IOAxCONF,Case3,0_BL,1_SC,1,20,0,1
36,rxji52j2gp,2024-08-06 14:25:09-04:00,3_IOAxCONF,Case3,0_BL,1_SC,1,10,0,0
56,rzwhywcd4l,2024-08-06 14:54:29-04:00,3_IOAxCONF,Case3,0_BL,1_SC,1,25,0,0
10,sdpw089q9q,2024-08-06 12:29:43-04:00,3_IOAxCONF,Case2,0_BL,1_SC,1,9,0,0
16,sv1ln9v67n,2024-08-06 12:46:18-04:00,3_IOAxCONF,Case2,0_BL,1_SC,1,14,0,0
132,t74m72d6ox,2024-08-16 09:58:10-04:00,3_IOAxCONF,Case1,5_RTB,1_SC,6,4,0,0
21,tag1fa0kp1,2024-08-06 12:56:51-04:00,3_IOAxCONF,Case2,0_BL,1_SC,1,18,1,0
102,tdquvppn2k,2024-08-08 10:45:21-04:00,3_IOAxCONF,Case1,2_T2,1_SC,3,29,0,0
41,tfjkg475qi,2024-08-06 14:31:31-04:00,3_IOAxCONF,Case3,0_BL,1_SC,1,15,0,0
59,tpu1le2y24,2024-08-06 10:11:30-04:00,3_IOAxCONF,Case1,0_BL,0_AC,1,1,0,1
85,tqd8io78y1,2024-08-08 10:20:30-04:00,3_IOAxCONF,Case1,2_T2,1_SC,3,12,0,0
37,tz3akpx8zf,2024-08-06 14:26:14-04:00,3_IOAxCONF,Case3,0_BL,1_SC,1,11,0,0
35,u0e61zeiap,2024-08-06 14:23:49-04:00,3_IOAxCONF,Case3,0_BL,1_SC,1,9,0,0
79,u7tt56x4zn,2024-08-08 10:13:41-04:00,3_IOAxCONF,Case1,2_T2,1_SC,3,6,0,0
135,uhz6scvrcf,2024-08-07 09:40:13-04:00,3_IOAxCONF,Case3,1_T1,1_SC,2,4,0,0
40,v6h0qhxezv,2024-08-06 14:30:17-04:00,3_IOAxCONF,Case3,0_BL,1_SC,1,14,0,0
30,vgsfvs23id,2024-08-06 14:21:23-04:00,3_IOAxCONF,Case3,0_BL,1_SC,1,7,0,0
143,vlkta0y9ks,2024-08-16 09:16:59-04:00,3_IOAxCONF,Case4,5_RTB,0_AC,2,2,0,0
78,vqh7gfxcey,2024-08-08 10:12:23-04:00,3_IOAxCONF,Case1,2_T2,1_SC,3,5,1,0
18,vreldn5mvu,2024-08-06 12:51:02-04:00,3_IOAxCONF,Case2,0_BL,1_SC,1,16,0,0
134,vws0jd4py3,2024-08-07 09:36:05-04:00,3_IOAxCONF,Case3,1_T1,1_SC,2,1,1,1
49,vx8357a2wu,2024-08-06 14:42:38-04:00,3_IOAxCONF,Case3,0_BL,1_SC,1,19,0,0
53,w30gin0e3v,2024-08-06 14:50:08-04:00,3_IOAxCONF,Case3,0_BL,0_AC,1,3,0,0
64,wfh37yc833,2024-08-06 10:22:56-04:00,3_IOAxCONF,Case1,0_BL,1_SC,1,5,0,0
69,wh09w5y1rs,2024-08-06 10:43:28-04:00,3_IOAxCONF,Case1,0_BL,1_SC,1,9,0,0
27,wieyal9grr,2024-08-06 14:17:42-04:00,3_IOAxCONF,Case3,0_BL,1_SC,1,4,0,1
70,wn1ygertr5,2024-08-06 10:44:50-04:00,3_IOAxCONF,Case1,0_BL,1_SC,1,10,0,0
136,wobjacr4f0,2024-08-07 09:43:56-04:00,3_IOAxCONF,Case3,1_T1,1_SC,2,7,0,0
137,x6snutud2j,2024-08-07 09:48:46-04:00,3_IOAxCONF,Case3,1_T1,1_SC,2,11,0,0
107,xd3xahzf81,2024-08-14 09:00:53-04:00,3_IOAxCONF,Case3,3_T3,1_SC,4,1,0,0
98,xfafelu310,2024-08-08 10:41:01-04:00,3_IOAxCONF,Case1,2_T2,1_SC,3,25,1,1
131,xmvhjmnp8d,2024-08-16 09:54:28-04:00,3_IOAxCONF,Case1,5_RTB,1_SC,6,1,0,0
8,xmwo3ksvlr,2024-08-06 12:26:54-04:00,3_IOAxCONF,Case2,0_BL,1_SC,1,7,0,1
54,xzuoviw1k5,2024-08-06 14:52:05-04:00,3_IOAxCONF,Case3,0_BL,1_SC,1,23,0,0
142,ydcxk6f2tw,2024-08-16 09:15:07-04:00,3_IOAxCONF,Case4,5_RTB,0_AC,2,1,0,0
99,ylwmempocs,2024-08-08 10:42:11-04:00,3_IOAxCONF,Case1,2_T2,1_SC,3,26,1,0
83,yo3ske4qqn,2024-08-08 10:18:01-04:00,3_IOAxCONF,Case1,2_T2,1_SC,3,10,0,0
20,yq71aj4ndb,2024-08-06 12:55:27-04:00,3_IOAxCONF,Case2,0_BL,1_SC,1,17,0,0
73,z08uj7ac1w,2024-08-06 10:53:19-04:00,3_IOAxCONF,Case1,0_BL,0_AC,1,3,0,0
62,zmp0lp9k1f,2024-08-06 10:19:27-04:00,3_IOAxCONF,Case1,0_BL,1_SC,1,3,0,1
5,zom6it7q6a,2024-08-06 12:22:07-04:00,3_IOAxCONF,Case2,0_BL,1_SC,1,4,0,0
6,zp2oqbs26n,2024-08-06 12:23:44-04:00,3_IOAxCONF,Case2,0_BL,1_SC,1,5,1,1
24,zqh67kai1y,2024-08-06 14:13:50-04:00,3_IOAxCONF,Case3,0_BL,1_SC,1,1,0,0
67,zqpztu3q7m,2024-08-06 10:39:34-04:00,3_IOAxCONF,Case1,0_BL,1_SC,1,7,0,0
115,zsydrua0kw,2024-08-14 09:09:11-04:00,3_IOAxCONF,Case3,3_T3,1_SC,4,10,0,0
