Key,DateTimeStamp,CaregiverID,StudyPhase,SessionType,SessionCount,TotalSessionTrials,SessionBlockCount,ConfMonitoring1,ConfMonitoring2,ConfMonitoring3,ConfMonitoring4,ConfMonitoring5,ConfMonitoring6a_1,ConfMonitoring6a_2,ConfMonitoring6a_3
141,2024-08-08T10:28:23-04:00,Case1,2_T2,1_SC,3,18,9,1,1,0,0,1,1,1,1
142,2024-08-08T10:34:09-04:00,Case1,2_T2,1_SC,3,19,9.5,1,1,1,1,1,1,1,1
143,2024-08-08T10:35:01-04:00,Case1,2_T2,1_SC,3,20,10,1,1,1,1,1,1,1,1
144,2024-08-08T10:36:02-04:00,Case1,2_T2,1_SC,3,21,10.5,1,1,1,1,1,0,1,1
145,2024-08-08T10:36:47-04:00,Case1,2_T2,1_SC,3,22,11,1,1,1,1,1,1,1,1
146,2024-08-08T10:37:54-04:00,Case1,2_T2,1_SC,3,23,11.5,1,1,1,0,1,1,1,1
147,2024-08-08T10:38:53-04:00,Case1,2_T2,1_SC,3,24,12,1,1,1,1,1,1,1,1
148,2024-08-08T10:41:01-04:00,Case1,2_T2,1_SC,3,25,12.5,1,1,1,1,1,1,1,1
149,2024-08-08T10:42:11-04:00,Case1,2_T2,1_SC,3,26,13,1,1,1,1,1,1,1,1
150,2024-08-08T10:43:38-04:00,Case1,2_T2,1_SC,3,27,13.5,1,1,1,1,1,1,1,1
151,2024-08-08T10:44:27-04:00,Case1,2_T2,1_SC,3,28,14,1,1,1,1,1,1,1,1
152,2024-08-08T10:45:21-04:00,Case1,2_T2,1_SC,3,29,14.5,1,1,1,1,1,1,1,1
153,2024-08-08T10:46:30-04:00,Case1,2_T2,1_SC,3,30,15,1,1,0,0,1,1,1,1
154,2024-08-09T09:07:39-04:00,Case1,2_T2,1_SC,3,1,0.5,0,0,0,0,0,0,0,0
155,2024-08-09T09:08:34-04:00,Case1,2_T2,1_SC,3,2,1,0,0,0,0,0,0,0,0
156,2024-08-09T09:09:34-04:00,Case1,2_T2,1_SC,3,3,1.5,0,0,0,0,0,0,0,0
157,2024-08-09T09:10:34-04:00,Case1,2_T2,1_SC,3,4,2,0,0,0,0,0,0,0,0
158,2024-08-09T09:11:27-04:00,Case1,2_T2,1_SC,3,5,2.5,0,0,0,0,0,0,0,0
159,2024-08-09T09:12:20-04:00,Case1,2_T2,1_SC,3,6,3,0,0,0,0,0,0,0,0
160,2024-08-09T09:13:20-04:00,Case1,2_T2,1_SC,3,7,3.5,0,0,0,0,0,0,0,0
161,2024-08-09T09:14:13-04:00,Case1,2_T2,1_SC,3,8,4,0,0,0,0,0,0,0,0
162,2024-08-09T09:15:07-04:00,Case1,2_T2,1_SC,3,9,4.5,0,0,0,0,0,0,0,0
163,2024-08-09T09:16:43-04:00,Case1,2_T2,1_SC,3,10,5,0,0,0,0,0,0,0,0
164,2024-08-09T09:17:44-04:00,Case1,2_T2,1_SC,3,11,5.5,0,0,0,0,0,0,0,0
165,2024-08-09T09:17:44-04:00,Case1,2_T2,1_SC,3,11,5.5,0,0,0,0,0,0,0,0
166,2024-08-09T09:23:59-04:00,Case1,2_T2,0_AC,3,1,0.5,0,0,0,0,0,0,0,0
167,2024-08-09T09:25:35-04:00,Case1,2_T2,0_AC,3,2,1,0,0,0,0,0,0,0,0
168,2024-08-09T09:27:03-04:00,Case1,2_T2,0_AC,3,3,1.5,0,0,0,0,0,0,0,0
169,2024-08-09T10:35:17-04:00,Case1,2_T2,1_SC,4,1,0.5,1,1,1,1,1,1,1,1
170,2024-08-09T10:36:11-04:00,Case1,2_T2,1_SC,4,2,1,1,1,1,1,1,1,1,1
171,2024-08-09T10:37:01-04:00,Case1,2_T2,1_SC,4,3,1.5,1,1,1,1,1,1,1,1
172,2024-08-09T10:38:05-04:00,Case1,2_T2,1_SC,4,4,2,1,0,1,1,1,1,1,1
173,2024-08-09T10:38:57-04:00,Case1,2_T2,1_SC,4,5,2.5,1,1,1,1,1,1,1,1
174,2024-08-09T10:39:44-04:00,Case1,2_T2,1_SC,4,6,3,1,1,1,1,1,1,1,1
175,2024-08-12T08:43:16-04:00,Case1,0_BL,0_AC,1,1,0.5,0,0,0,0,0,0,0,0
176,2024-08-12T08:52:24-04:00,Case1,0_BL,1_SC,1,1,0.5,0,0,0,0,0,0,0,0
177,2024-08-12T08:53:59-04:00,Case1,0_BL,1_SC,1,2,1,0,0,0,0,0,0,0,0
178,2024-08-12T08:55:02-04:00,Case1,0_BL,1_SC,1,3,1.5,0,0,0,0,0,0,0,0
179,2024-08-12T08:56:00-04:00,Case1,0_BL,1_SC,1,4,2,0,0,0,0,0,0,0,0
180,2024-08-12T08:57:10-04:00,Case1,0_BL,1_SC,1,5,2.5,0,0,0,0,0,0,0,0
181,2024-08-12T08:58:07-04:00,Case1,0_BL,1_SC,1,6,3,0,0,0,0,0,0,0,0
182,2024-08-12T08:59:17-04:00,Case1,0_BL,1_SC,1,7,3.5,0,0,0,0,0,0,0,0
183,2024-08-12T09:00:17-04:00,Case1,0_BL,1_SC,1,8,4,0,0,0,0,0,0,0,0
184,2024-08-12T09:01:25-04:00,Case1,0_BL,1_SC,1,9,4.5,0,0,0,0,0,0,0,0
185,2024-08-12T09:02:34-04:00,Case1,0_BL,1_SC,1,10,5,0,0,0,0,0,0,0,0
186,2024-08-12T09:03:43-04:00,Case1,0_BL,1_SC,1,11,5.5,0,0,0,0,0,0,0,0
187,2024-08-12T09:04:41-04:00,Case1,0_BL,1_SC,1,12,6,0,0,0,0,0,0,0,0
188,2024-08-12T09:06:04-04:00,Case1,0_BL,1_SC,1,13,6.5,0,0,0,0,0,0,0,0
189,2024-08-12T09:06:50-04:00,Case1,0_BL,1_SC,1,14,7,0,0,0,0,0,0,0,0
190,2024-08-12T09:07:55-04:00,Case1,0_BL,1_SC,1,15,7.5,0,0,0,0,0,0,0,0
191,2024-08-12T09:08:44-04:00,Case1,0_BL,1_SC,1,16,8,0,0,0,0,0,0,0,0
192,2024-08-13T08:35:16-04:00,Case1,1_T1,0_AC,3,1,0.5,0,0,0,0,0,0,0,0
193,2024-08-13T08:36:08-04:00,Case1,1_T1,0_AC,3,2,1,0,0,0,0,0,0,0,0
194,2024-08-13T08:37:46-04:00,Case1,1_T1,0_AC,3,3,1.5,0,0,0,0,0,0,0,0
195,2024-08-13T08:59:41-04:00,Case1,2_T2,1_SC,3,1,0.5,0,0,0,0,0,0,0,0
196,2024-08-13T09:00:39-04:00,Case1,2_T2,1_SC,3,2,1,0,0,0,0,0,0,0,0
197,2024-08-13T09:01:32-04:00,Case1,2_T2,1_SC,3,3,1.5,0,0,0,0,0,0,0,0
198,2024-08-13T09:02:21-04:00,Case1,2_T2,1_SC,3,4,2,0,0,0,0,0,0,0,0
199,2024-08-13T09:03:05-04:00,Case1,2_T2,1_SC,3,5,2.5,0,0,0,0,0,0,0,0
200,2024-08-13T09:03:54-04:00,Case1,2_T2,1_SC,3,6,3,0,0,0,0,0,0,0,0
201,2024-08-13T09:11:38-04:00,Case1,2_T2,0_AC,3,1,0.5,0,0,0,0,0,0,0,0
202,2024-08-13T09:12:32-04:00,Case1,2_T2,0_AC,3,2,1,0,0,0,0,0,0,0,0
203,2024-08-13T09:13:44-04:00,Case1,2_T2,0_AC,3,3,1.5,0,0,0,0,0,0,0,0
204,2024-08-13T09:47:04-04:00,Case1,3_T3,1_SC,4,1,0.5,0,0,0,0,0,0,0,0
205,2024-08-13T09:48:55-04:00,Case1,3_T3,1_SC,4,2,1,0,0,0,0,0,0,0,0
206,2024-08-13T09:49:53-04:00,Case1,3_T3,1_SC,4,3,1.5,0,0,0,0,0,0,0,0
207,2024-08-13T09:50:43-04:00,Case1,3_T3,1_SC,4,4,2,0,0,0,0,0,0,0,0
208,2024-08-13T09:51:45-04:00,Case1,3_T3,1_SC,4,5,2.5,0,0,0,0,0,0,0,0
209,2024-08-13T09:52:51-04:00,Case1,3_T3,1_SC,4,6,3,0,0,0,0,0,0,0,0
210,2024-08-13T09:53:52-04:00,Case1,3_T3,1_SC,4,7,3.5,0,0,0,0,0,0,0,0
211,2024-08-13T09:54:51-04:00,Case1,3_T3,1_SC,4,8,4,0,0,0,0,0,0,0,0
212,2024-08-13T09:59:04-04:00,Case1,3_T3,0_AC,4,1,0.5,0,0,0,0,0,0,0,0
213,2024-08-13T10:00:18-04:00,Case1,3_T3,0_AC,4,2,1,0,0,0,0,0,0,0,0
214,2024-08-13T10:01:34-04:00,Case1,3_T3,0_AC,4,3,1.5,0,0,0,0,0,0,0,0
215,2024-08-14T09:00:53-04:00,Case1,3_T3,1_SC,4,1,0.5,0,0,0,0,0,0,0,0
216,2024-08-14T09:01:54-04:00,Case1,3_T3,1_SC,4,2,1,0,0,0,0,0,0,0,0
217,2024-08-14T09:02:59-04:00,Case1,3_T3,1_SC,4,3,1.5,0,0,0,0,0,0,0,0
218,2024-08-14T09:03:42-04:00,Case1,3_T3,1_SC,4,4,2,0,0,0,0,0,0,0,0
219,2024-08-14T09:04:59-04:00,Case1,3_T3,1_SC,4,5,2.5,0,0,0,0,0,0,0,0
220,2024-08-14T09:05:59-04:00,Case1,3_T3,1_SC,4,6,3,0,0,0,0,0,0,0,0
221,2024-08-14T09:06:54-04:00,Case1,3_T3,1_SC,4,7,3.5,0,0,0,0,0,0,0,0
222,2024-08-14T09:07:47-04:00,Case1,3_T3,1_SC,4,8,4,0,0,0,0,0,0,0,0
223,2024-08-14T09:08:28-04:00,Case1,3_T3,1_SC,4,9,4.5,0,0,0,0,0,0,0,0
224,2024-08-14T09:09:11-04:00,Case1,3_T3,1_SC,4,10,5,0,0,0,0,0,0,0,0
225,2024-08-14T09:10:03-04:00,Case1,3_T3,1_SC,4,11,5.5,0,0,0,0,0,0,0,0
226,2024-08-14T09:10:44-04:00,Case1,3_T3,1_SC,4,12,6,0,0,0,0,0,0,0,0
227,2024-08-14T09:15:50-04:00,Case1,3_T3,0_AC,4,1,0.5,0,0,0,0,0,0,0,0
228,2024-08-14T09:16:28-04:00,Case1,3_T3,0_AC,4,2,1,0,0,0,0,0,0,0,0
229,2024-08-14T09:17:05-04:00,Case1,3_T3,0_AC,4,3,1.5,0,0,0,0,0,0,0,0
230,2024-08-14T09:46:20-04:00,Case1,5_RTB,1_SC,5,1,0.5,0,0,0,0,0,0,0,0
231,2024-08-14T09:47:03-04:00,Case1,5_RTB,1_SC,5,2,1,0,0,0,0,0,0,0,0
232,2024-08-14T09:48:01-04:00,Case1,5_RTB,1_SC,5,3,1.5,0,0,0,0,0,0,0,0
233,2024-08-14T09:48:49-04:00,Case1,5_RTB,1_SC,5,4,2,0,0,0,0,0,0,0,0
234,2024-08-14T09:49:43-04:00,Case1,5_RTB,1_SC,5,5,2.5,0,0,0,0,0,0,0,0
235,2024-08-14T09:50:39-04:00,Case1,5_RTB,1_SC,5,6,3,0,0,0,0,0,0,0,0
236,2024-08-14T09:51:40-04:00,Case1,5_RTB,1_SC,5,7,3.5,0,0,0,0,0,0,0,0
237,2024-08-14T09:52:38-04:00,Case1,5_RTB,1_SC,5,8,4,0,0,0,0,0,0,0,0
238,2024-08-14T09:53:20-04:00,Case1,5_RTB,1_SC,5,9,4.5,0,0,0,0,0,0,0,0
239,2024-08-14T09:54:14-04:00,Case1,5_RTB,1_SC,5,10,5,0,0,0,0,0,0,0,0
240,2024-08-14T09:57:47-04:00,Case1,5_RTB,0_AC,5,1,0.5,0,0,0,0,0,0,0,0
241,2024-08-14T09:58:38-04:00,Case1,5_RTB,0_AC,5,2,1,0,0,0,0,0,0,0,0
242,2024-08-14T09:59:35-04:00,Case1,5_RTB,0_AC,5,3,1.5,0,0,0,0,0,0,0,0
243,2024-08-15T09:12:59-04:00,Case1,2_T2,0_AC,5,1,0.5,1,1,1,1,1,1,1,1
244,2024-08-15T09:13:47-04:00,Case1,2_T2,0_AC,5,2,1,1,1,1,1,1,1,1,1
245,2024-08-15T09:15:03-04:00,Case1,2_T2,0_AC,5,3,1.5,1,1,1,1,1,1,1,1
246,2024-08-15T09:18:44-04:00,Case1,3_T3,1_SC,5,1,0.5,1,1,1,1,1,1,1,1
247,2024-08-15T09:19:40-04:00,Case1,3_T3,1_SC,5,2,1,1,1,1,1,1,1,1,1
248,2024-08-15T09:20:36-04:00,Case1,3_T3,1_SC,5,3,1.5,1,1,1,1,1,1,1,1
249,2024-08-15T09:21:36-04:00,Case1,3_T3,1_SC,5,4,2,1,1,1,1,1,1,1,1
250,2024-08-15T09:22:25-04:00,Case1,3_T3,1_SC,5,5,2.5,1,1,1,1,1,1,1,1
251,2024-08-15T09:23:21-04:00,Case1,3_T3,1_SC,5,6,3,1,1,1,1,1,1,1,1
252,2024-08-15T09:28:05-04:00,Case1,3_T3,0_AC,5,1,0.5,1,1,1,1,1,1,1,1
253,2024-08-15T09:28:39-04:00,Case1,3_T3,0_AC,5,2,1,1,1,1,1,1,1,1,1
254,2024-08-15T09:29:50-04:00,Case1,3_T3,0_AC,5,3,1.5,1,1,1,1,1,1,1,1
255,2024-08-16T09:15:07-04:00,Case1,5_RTB,0_AC,2,1,0.5,0,0,0,0,0,0,0,0
256,2024-08-16T09:16:59-04:00,Case1,5_RTB,0_AC,2,2,1,0,0,0,0,0,0,0,0
257,2024-08-16T09:18:00-04:00,Case1,5_RTB,0_AC,2,3,1.5,0,0,0,0,0,0,0,0
258,2024-08-16T09:54:28-04:00,Case1,5_RTB,1_SC,6,1,0.5,1,1,1,1,1,1,1,1
259,2024-08-16T09:56:22-04:00,Case1,5_RTB,1_SC,6,2,1,1,1,1,1,1,1,1,1
260,2024-08-16T09:57:21-04:00,Case1,5_RTB,1_SC,6,3,1.5,1,1,1,1,1,1,1,1
261,2024-08-16T09:58:10-04:00,Case1,5_RTB,1_SC,6,4,2,1,1,1,1,1,1,1,1
262,2024-08-16T09:59:07-04:00,Case1,5_RTB,1_SC,6,5,2.5,1,1,1,1,1,1,1,1
263,2024-08-16T09:59:51-04:00,Case1,5_RTB,1_SC,6,6,3,1,1,1,1,1,1,1,1
264,2024-08-16T10:00:45-04:00,Case1,5_RTB,1_SC,6,7,3.5,1,1,1,1,1,1,1,1
265,2024-08-16T10:01:30-04:00,Case1,5_RTB,1_SC,6,8,4,1,1,1,1,1,1,1,1
266,2024-08-16T10:02:24-04:00,Case1,5_RTB,1_SC,6,9,4.5,1,1,1,1,1,1,1,1
267,2024-08-16T10:03:21-04:00,Case1,5_RTB,1_SC,6,10,5,1,1,1,1,1,1,1,1
268,2024-08-16T10:11:48-04:00,Case1,5_RTB,1_SC,5,1,0.5,0,0,0,0,0,0,0,0
269,2024-08-16T10:12:29-04:00,Case1,5_RTB,1_SC,5,2,1,0,0,0,0,0,0,0,0
270,2024-08-16T10:13:18-04:00,Case1,5_RTB,1_SC,5,3,1.5,0,0,0,0,0,0,0,0
271,2024-08-16T10:14:05-04:00,Case1,5_RTB,1_SC,5,4,2,0,0,0,0,0,0,0,0
272,2024-08-16T10:14:49-04:00,Case1,5_RTB,1_SC,5,5,2.5,0,0,0,0,0,0,0,0
273,2024-08-16T10:15:39-04:00,Case1,5_RTB,1_SC,5,6,3,0,0,0,0,0,0,0,0
274,2024-08-16T10:16:29-04:00,Case1,5_RTB,1_SC,5,7,3.5,0,0,0,0,0,0,0,0
275,2024-08-16T10:17:12-04:00,Case1,5_RTB,1_SC,5,8,4,0,0,0,0,0,0,0,0
276,2024-08-16T10:18:12-04:00,Case1,5_RTB,1_SC,5,9,4.5,0,0,0,0,0,0,0,0
277,2024-08-16T10:18:49-04:00,Case1,5_RTB,1_SC,5,10,5,0,0,0,0,0,0,0,0
278,2024-08-19T09:36:48-04:00,Case1,5_RTB,0_AC,6,1,0.5,0,0,0,0,0,0,0,0
279,2024-08-19T09:37:19-04:00,Case1,5_RTB,0_AC,6,2,1,0,0,0,0,0,0,0,0
280,2024-08-19T09:38:20-04:00,Case1,5_RTB,0_AC,6,3,1.5,0,0,0,0,0,0,0,0
281,2024-08-19T11:02:31-04:00,Case1,5_RTB,0_AC,7,1,0.5,1,1,1,1,1,1,1,1
282,2024-08-19T11:03:13-04:00,Case1,5_RTB,0_AC,7,2,1,1,1,1,1,1,1,1,1
283,2024-08-19T11:04:11-04:00,Case1,5_RTB,0_AC,7,3,1.5,1,1,1,1,1,1,1,1
